timestamp_utc,cell_id,enodeb_id,frequency_band,avg_rsrp_dBm,avg_rsrq_dB,avg_sinr_dB,prb_utilization_dl_pct,prb_utilization_ul_pct,active_ue_avg
2026-07-15 00:00:00,HELS-001-1,HELS-001,Band 1 (2100MHz),-85.6,-5.4,9.4,17.5,0.0,5.7
2026-07-15 00:00:00,HELS-001-2,HELS-001,Band 1 (2100MHz),-100.2,-14.0,12.5,26.5,2.6,21.2
2026-07-15 00:00:00,HELS-001-3,HELS-001,Band 1 (2100MHz),-101.3,-13.6,-5.1,0.0,8.0,4.9
2026-07-15 00:00:00,HELS-002-1,HELS-002,Band 3 (1800MHz),-85.0,-7.4,7.0,15.9,13.8,21.4
2026-07-15 00:00:00,HELS-002-2,HELS-002,Band 3 (1800MHz),-78.2,-9.4,7.7,14.9,0.0,24.7
2026-07-15 00:00:00,HELS-002-3,HELS-002,Band 3 (1800MHz),-79.5,-6.4,7.8,0.0,15.8,19.9
2026-07-15 00:00:00,HELS-003-1,HELS-003,Band 1 (2100MHz),-74.8,-7.0,12.3,30.2,16.7,10.2
2026-07-15 00:00:00,HELS-003-2,HELS-003,Band 1 (2100MHz),-86.1,-7.2,13.7,2.6,14.2,28.5
2026-07-15 00:00:00,HELS-003-3,HELS-003,Band 1 (2100MHz),-78.6,-6.8,9.7,0.0,13.5,0.0
2026-07-15 00:00:00,HELS-004-1,HELS-004,Band 3 (1800MHz),-85.1,-11.2,16.2,6.8,13.8,6.4
2026-07-15 00:00:00,HELS-004-2,HELS-004,Band 3 (1800MHz),-77.7,-8.9,9.4,0.0,3.5,10.4
2026-07-15 00:00:00,HELS-004-3,HELS-004,Band 3 (1800MHz),-78.5,-7.5,5.5,11.1,5.7,0.0
2026-07-15 00:00:00,HELS-005-1,HELS-005,Band 1 (2100MHz),-96.3,-9.7,-0.3,26.3,0.0,2.7
2026-07-15 00:00:00,HELS-005-2,HELS-005,Band 1 (2100MHz),-92.0,-11.4,18.9,0.0,0.0,24.4
2026-07-15 00:00:00,HELS-005-3,HELS-005,Band 1 (2100MHz),-89.5,-9.7,13.4,3.6,20.5,25.5
2026-07-15 00:00:00,HELS-006-1,HELS-006,Band 3 (1800MHz),-85.4,-10.4,14.8,18.8,15.5,3.2
